N,x0,x1,x2,x3,x4,x5,x6,x7,x8,x1x2,x1x3,x1x4,x1x5,x1x6,x1x7,x1x8,Y ф.,Y лин.,Y ф. - Y лин.,Y ч.-н.,Y ф. - Y ч.-н.
1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1
2,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1
3,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1,-1,1,-1
4,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1
5,1,-1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,-1,-1
6,1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1
7,1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1
8,1,1,1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1
9,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1
10,1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1
11,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,1,-1,1
12,1,1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1
13,1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1
14,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1
15,1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
